document_id	courier_id	year	record_number	pages	catalogue_title	authors	filename
2510	53853	1971	187235	[6, 7]	25 years of UNESCO viewed by a student of 25	Naraghi, Ehan	1971_053853_187235.txt
2511	53888	1971	53891	[12, 13, 14, 15]	The Scientific legacy of Iran	Stewart, Desmond	1971_053888_53891.txt
2512	53888	1971	53893	[16, 17, 18, 19, 20, 21]	Sacred art in Persian culture	Nasr, Seyyed Hossein	1971_053888_53893.txt
2513	53888	1971	53898	[27, 28, 29]	The Romance of Varghe and Golshah	Melikian-Chirvani, Assadullah Soure	1971_053888_53898.txt
2514	53888	1971	53899	[32, 33, 34, 35, 36, 37, 38, 39]	The Epic of the kings: Persia's national saga, the 'Shah-nama'	Santa-Croce, Joseph	1971_053888_53899.txt
2515	53888	1971	53901	[40, 41, 42, 43]	The Thousand and one nights or the secret of Scheherazade	Léturmy, Michel	1971_053888_53901.txt
2516	53888	1971	53914	[44]	Ageless voices of poets & writers		1971_053888_53914.txt
2517	53888	1971	188337	[4, 5, 6, 7, 8, 9]	Iran, cultural crossroads for 2,500 years	Avery, Peter	1971_053888_188337.txt
2518	54453	1971	54455	[6, 7, 8, 9, 10, 11, 12, 13, 40]	Angkor, masterpiece of architecture and town-planning	Stierlin, Henri	1971_054453_54455.txt
2519	54453	1971	54457	[14, 15, 16, 17, 18, 39]	The Khmer smile of the Bayon	Stern, Philippe	1971_054453_54457.txt
2520	54453	1971	54459	[27]	Notes of a 13th century Chinese diplomat in Cambodia	Chou Ta kuan	1971_054453_54459.txt
2521	54453	1971	54462	[28, 29]	100 years of effort: forgotten city cleared from the jungle	Giteau, Madeleine	1971_054453_54462.txt
2522	54453	1971	54465	[30, 31, 32, 33, 34, 35, 36, 37, 38]	12th century diary in stone: a record of daily life carved on the walls of the Bayon temple	Ionesco, Luc|Soubert Son	1971_054453_54465.txt
2523	54453	1971	188338	[4, 5]	S.O.S Angkor	Daifuku, Hiroshi	1971_054453_188338.txt
2524	78266	1971	52794	[4, 5, 6, 7, 8, 9, 10, 11, 32]	TV; the challenge of the 70s: quantity + quality	Esslin, Martin	1971_078266_52794.txt
2525	78266	1971	52796	[12, 13, 14, 15, 16]	UNESCO in the Second Development Decade	Brabyn, Howard	1971_078266_52796.txt
2526	78266	1971	52797	[17, 18, 19, 20, 21]	Lifelines for the developing world	Owens, W.H.	1971_078266_52797.txt
2527	78266	1971	52800	[22, 23]	The Will to peace: message of His Holiness Pope Paul VI	Paul VI, Pope	1971_078266_52800.txt
